depth, banks, Combinational, Noncombinational, Buf/Inv, Total
256, 1, 86.965202, 85.554001, 12.524400, 172.519203
256, 2, 73.558801, 85.906801, 5.644800, 159.465602
256, 4, 102.841202, 84.495601, 15.170400, 187.336803
256, 8, 83.613602, 88.200001, 3.528000, 171.813603
256, 16, 57.506401, 78.850801, 9.878400, 136.357201
256, 32, 57.330001, 77.439601, 4.586400, 134.769601
512, 1, 85.730402, 93.668401, 11.642400, 179.398803
512, 2, 80.614802, 92.080801, 9.702000, 172.695603
512, 4, 106.722002, 96.138001, 19.933200, 202.860003
512, 8, 106.369202, 94.374001, 14.817600, 200.743203
512, 16, 88.200002, 92.257201, 14.817600, 180.457203
512, 32, 60.328801, 86.965200, 3.704400, 147.294001
1024, 1, 103.194001, 107.956801, 13.230000, 211.150803
1024, 2, 103.194001, 107.956801, 13.230000, 211.150803
1024, 4, 91.551602, 102.312001, 13.230000, 193.863603
1024, 8, 113.248802, 100.900801, 14.112000, 214.149603
1024, 16, 117.129602, 102.664801, 20.815200, 219.794403
1024, 32, 103.546801, 108.133201, 8.996400, 211.680003
2048, 1, 100.195202, 111.661201, 11.466000, 211.856403
2048, 2, 109.015202, 114.483602, 13.230000, 223.498804
2048, 4, 145.530002, 118.893601, 21.520800, 264.423604
2048, 8, 113.072402, 110.602801, 17.992800, 223.675203
2048, 16, 123.480002, 111.661201, 19.756801, 235.141203
2048, 32, 114.660002, 108.133201, 14.464800, 222.793203
4096, 1, 120.481202, 118.717202, 20.109600, 239.198404
4096, 2, 120.481202, 118.717202, 20.109600, 239.198404
4096, 4, 165.816003, 124.891202, 26.460000, 290.707205
4096, 8, 162.817202, 127.537201, 22.226400, 290.354402
4096, 16, 117.129602, 119.422801, 13.759200, 236.552403
4096, 32, 171.284402, 117.658802, 19.580400, 288.943204
8192, 1, 124.185602, 132.123602, 15.346800, 256.309204
8192, 2, 121.892402, 132.123602, 15.699600, 254.016004
8192, 4, 134.416802, 130.006802, 13.053600, 264.423604
8192, 8, 183.456003, 134.064002, 17.816400, 317.520005
8192, 16, 177.634802, 131.241602, 22.932000, 308.876404
8192, 32, 177.282003, 126.302401, 26.283601, 303.584404
