w, v, ins, outs, Combinational, Noncombinational, Buf/Inv, Total
1, 1, 10, 10, 271.479604, 165.463201, 27.694801, 436.942805
1, 1, 12, 12, 487.040407, 260.542800, 50.274001, 747.583207
1, 1, 16, 16, 546.310806, 223.146002, 100.195201, 769.456809
1, 1, 6, 6, 152.056802, 104.428799, 18.522000, 256.485601
1, 1, 8, 8, 175.870802, 92.786400, 22.050000, 268.657202
32, 16, 4, 4, 9321.858248, 8004.679212, 1186.995623, 17326.537460
32, 16, 5, 5, 10283.061742, 9679.420911, 1838.617247, 19962.482653
32, 16, 6, 6, 23099.051348, 11837.674889, 3750.969703, 34936.726237
32, 16, 7, 7, 25750.872516, 13703.986912, 4573.522907, 39454.859428
32, 16, 8, 8, 33768.781944, 15550.012959, 4650.609716, 49318.794903
32, 16, 10, 10, 52838.328087, 19443.161011, 7619.245408, 72281.489098
32, 16, 12, 12, 72232.978595, 23393.109838, 9531.597875, 95626.088433
32, 16, 16, 16, 103528.103599, 31078.857936, 11298.420315, 134606.961535

