wordWidth, Combinational, Noncombinational, Buf/Inv, Total
1, 3.880800, 15.699600, 0.529200, 19.580400
2, 17.110800, 28.576800, 0.529200, 45.687600
3, 19.756800, 45.158401, 0.529200, 64.915201
4, 51.861601, 62.269201, 5.644800, 114.130802
5, 73.029601, 76.557601, 4.762800, 149.587202
6, 121.186801, 92.610002, 11.995200, 213.796803
8, 87.141602, 116.953202, 3.704400, 204.094804
10, 138.121202, 155.408403, 12.348000, 293.529605
12, 185.396403, 179.222404, 17.640000, 364.618806
16, 243.255605, 226.144804, 22.050001, 469.400409
20, 288.590406, 292.647606, 23.637601, 581.238012
24, 340.981205, 345.038407, 45.158401, 686.019612
32, 472.575608, 464.461208, 44.100001, 937.036816
40, 622.515609, 568.890014, 66.855602, 1191.405623
48, 674.906410, 697.485617, 58.741202, 1372.392027
64, 987.310816, 911.282421, 107.251203, 1898.593237
