wordWidth, Combinational, Noncombinational, Buf/Inv, Total
1, 3.175200, 15.346800, 0.529200, 18.522000
2, 19.051200, 27.518400, 3.704400, 46.569600
3, 38.455200, 44.452801, 7.585200, 82.908001
4, 94.550401, 59.799601, 16.052400, 154.350002
5, 169.696802, 71.971201, 36.867600, 241.668003
6, 417.186004, 88.905602, 76.028401, 506.091606
8, 781.275609, 108.662403, 136.710002, 889.938011
10, 1695.027620, 139.179603, 265.482004, 1834.207224
12, 2696.274034, 167.580004, 413.128808, 2863.854038
16, 5175.399667, 223.146006, 736.293615, 5398.545672
20, 4468.741260, 263.365206, 692.546415, 4732.106466
24, 12341.120570, 304.113605, 1915.527640, 12645.234175
32, 23310.731160, 417.538805, 3529.764079, 23728.269965
40, 36571.777778, 512.089207, 5912.222531, 37083.866985
48, 52069.223603, 612.284410, 8780.839397, 52681.508013
64, 96703.892853, 796.269618, 16079.213177, 97500.162471
