wordWidth, Combinational, Noncombinational, Buf/Inv, Total
1, 4.057200, 15.699600, 0.705600, 19.756800
2, 10.407600, 24.519600, 0.705600, 34.927201
3, 19.933200, 36.162001, 4.410000, 56.095201
4, 25.754400, 42.865201, 5.644800, 68.619601
5, 22.402800, 59.094001, 2.469600, 81.496801
6, 52.920001, 63.327601, 4.762800, 116.247602
8, 50.626800, 79.909200, 13.053600, 130.536001
10, 73.911601, 107.074801, 12.877200, 180.986403
12, 75.146401, 115.542002, 17.287200, 190.688403
16, 101.253601, 150.822002, 28.576800, 252.075604
20, 145.177202, 189.982801, 20.638800, 335.160003
24, 191.217603, 245.019605, 34.750801, 436.237208
32, 220.147204, 308.170802, 28.224001, 528.318005
40, 320.342405, 383.317206, 52.038001, 703.659611
48, 371.674805, 432.356408, 65.091601, 804.031213
64, 504.151207, 580.885208, 76.910401, 1085.036415
