wordWidth, Combinational, Noncombinational, Buf/Inv, Total
1, 3.175200, 15.699600, 0.529200, 18.874800
2, 19.227600, 28.047601, 3.528000, 47.275201
3, 17.992800, 43.923601, 2.998800, 61.916401
4, 65.620801, 58.212001, 4.233600, 123.832802
5, 94.021201, 76.028402, 8.467200, 170.049603
6, 117.306001, 82.378801, 13.759200, 199.684802
8, 243.079202, 107.251202, 33.868800, 350.330404
10, 359.856004, 134.593202, 29.811601, 494.449207
12, 510.678005, 167.580004, 50.097601, 678.258010
16, 849.189609, 213.444004, 76.381202, 1062.633614
20, 1249.970412, 274.478407, 100.724402, 1524.448819
24, 1708.257615, 327.751208, 165.286803, 2036.008823
32, 2876.378417, 414.363609, 231.966005, 3290.742026
40, 4317.037219, 530.434809, 334.630807, 4847.472028
48, 6161.828421, 616.341615, 505.562412, 6778.170036
64, 10757.401240, 828.198020, 809.852418, 11585.599260
