wordWidth, Combinational, Noncombinational, Buf/Inv, Total
1, 4.057200, 15.699600, 0.705600, 19.756800
2, 9.878400, 29.282400, 3.704400, 39.160800
3, 24.343200, 44.629200, 1.940400, 68.972400
4, 45.334800, 58.917601, 7.761600, 104.252401
5, 46.922401, 71.794801, 5.821200, 118.717202
6, 77.086801, 83.613601, 7.938000, 160.700402
8, 105.134402, 112.719602, 6.879600, 217.854003
10, 143.589602, 138.826803, 7.938000, 282.416405
12, 210.268803, 169.167603, 27.694800, 379.436406
16, 416.127605, 222.440404, 44.100001, 638.568009
20, 397.429206, 278.535605, 32.986800, 675.964811
24, 562.539608, 330.750007, 55.389601, 893.289616
32, 619.516809, 419.655608, 56.977201, 1039.172418
40, 873.532813, 532.375211, 102.841202, 1405.908024
48, 1097.560816, 480.513609, 123.480003, 1578.074425
64, 1894.712427, 811.969213, 225.439203, 2706.681640
